,id,WorkerId,q1,q2,doc1,doc2,Expected_q1_q2,Expected_q1_doc1,Expected_q1_doc2,Expected_q2_doc1,Expected_q2_doc2
0,444-2,0,What can usually cause an offender to get arrested in most jurisdictions?,What cannot usually cause an offender to get arrested in most jurisdictions?,"Drug possession is the crime of having one or more illegal drugs in one's possession, either for personal use, distribution, sale or otherwise. Illegal drugs fall into different categories and sentences vary depending on the amount, type of drug, circumstances, and jurisdiction. In the U.S., the penalty for illegal drug possession and sale can vary from a small fine to a prison sentence. In some states, marijuana possession is considered to be a petty offense, with the penalty being comparable to that of a speeding violation. In some municipalities, possessing a small quantity of marijuana in one's own home is not punishable at all. Generally, however, drug possession is an arrestable offense, although first-time offenders rarely serve jail time. Federal law makes even possession of ""soft drugs"", such as cannabis, illegal, though some local governments have laws contradicting federal laws.","Drug possession is the crime of having one or more illegal drugs in one's possession, either for personal use, distribution, sale or otherwise. Illegal drugs fall into different categories and sentences vary depending on the amount, type of drug, circumstances, and jurisdiction. In the U.S., the penalty for illegal drug possession and sale can vary from a small fine to a prison sentence. In some states, marijuana possession is considered to be a petty offense, with the penalty being comparable to that of a speeding violation. In some municipalities, possessing a small quantity of marijuana in one's own home is not punishable at all. However, rarely is drug possession an arrestable offense, although first-time offenders may serve jail time. Federal law makes even possession of ""soft drugs"", such as cannabis, illegal, though some local governments have laws contradicting federal laws.",High,High,Low,Low,High
1,444-3,2,What offense hardly ever results in the criminal going to jail for it after their first offense?,What offense always results in the criminal going to jail for it after their first offense?,"Drug possession is the crime of having one or more illegal drugs in one's possession, either for personal use, distribution, sale or otherwise. Illegal drugs fall into different categories and sentences vary depending on the amount, type of drug, circumstances, and jurisdiction. In the U.S., the penalty for illegal drug possession and sale can vary from a small fine to a prison sentence. In some states, marijuana possession is considered to be a petty offense, with the penalty being comparable to that of a speeding violation. In some municipalities, possessing a small quantity of marijuana in one's own home is not punishable at all. Generally, however, drug possession is an arrestable offense, although first-time offenders rarely serve jail time. Federal law makes even possession of ""soft drugs"", such as cannabis, illegal, though some local governments have laws contradicting federal laws.","Drug possession is the crime of having one or more illegal drugs in one's possession, either for personal use, distribution, sale or otherwise. Illegal drugs fall into different categories and sentences vary depending on the amount, type of drug, circumstances, and jurisdiction. In the U.S., the penalty for illegal drug possession and sale can vary from a small fine to a prison sentence. In some states, marijuana possession is considered to be a petty offense, with the penalty being comparable to that of a speeding violation. In some municipalities, possessing a small quantity of marijuana in one's own home is not punishable at all. Generally, however, drug possession is an arrestable offense and first-time offenders do serve jail time. Federal law makes even possession of ""soft drugs"", such as cannabis, illegal, though some local governments have laws contradicting federal laws.",High,High,Low,Low,High
2,445-2,6,Who did SSI invite to the X Games as an exhibition that was informal?,Who did SSI invite to the X Games as an exhibition that was not informal?,"Freeflying broke into the limelight in 1996 when the SSI Pro Tour added freeflying as a three-person competitive discipline at the second televised event (with Skysurfing), part of ESPN's Destination Extreme series. 150 countries watched the FreeFly Clowns (Olav Zipser, Charles Bryan and Omar Alhegelan) as they took 1st place in all four international competitions along with other teams like, the Flyboyz (Eli Thompson, Mike Ortiz, Knut Krecker, Fritz Pfnür), Team AirTime (Tony Urugallo, Jim O'Reilly, Peter Raymond, Brian Germain), and many other pioneers of freeflying showed off their best moves. In 1996 and 1997, the SSI Pro Tour staged eight televised events in both North America and Europe with $36,000 in cash prizes awarded to freefly teams. SSI invited the 1997 Pro World Champions, the Flyboyz, to participate in the 1998 ESPN X Games as an unofficial exhibition.","Freeflying broke into the limelight in 1996 when the SSI Pro Tour added freeflying as a three-person competitive discipline at the second televised event (with Skysurfing), part of ESPN's Destination Extreme series. 150 countries watched the FreeFly Clowns (Olav Zipser, Charles Bryan and Omar Alhegelan) as they took 1st place in all four international competitions along with other teams like, the Flyboyz (Eli Thompson, Mike Ortiz, Knut Krecker, Fritz Pfnür), Team AirTime (Tony Urugallo, Jim O'Reilly, Peter Raymond, Brian Germain), and many other pioneers of freeflying showed off their best moves. In 1996 and 1997, the SSI Pro Tour staged eight televised events in both North America and Europe with $36,000 in cash prizes awarded to freefly teams. SSI invited the unofficial 1997 Pro World Champions, the Flyboyz, to participate in the 1998 ESPN X Games as an exhibition.",High,High,Low,Low,High
3,445-3,2,Which team took part in the 1998 ESPN X Games as a casual demonstration?,Which team took part in the 1998 ESPN X Games as a formal demonstration?,"Freeflying broke into the limelight in 1996 when the SSI Pro Tour added freeflying as a three-person competitive discipline at the second televised event (with Skysurfing), part of ESPN's Destination Extreme series. 150 countries watched the FreeFly Clowns (Olav Zipser, Charles Bryan and Omar Alhegelan) as they took 1st place in all four international competitions along with other teams like, the Flyboyz (Eli Thompson, Mike Ortiz, Knut Krecker, Fritz Pfnür), Team AirTime (Tony Urugallo, Jim O'Reilly, Peter Raymond, Brian Germain), and many other pioneers of freeflying showed off their best moves. In 1996 and 1997, the SSI Pro Tour staged eight televised events in both North America and Europe with $36,000 in cash prizes awarded to freefly teams. SSI invited the 1997 Pro World Champions, the Flyboyz, to participate in the 1998 ESPN X Games as an unofficial exhibition.","Freeflying broke into the limelight in 1996 when the SSI Pro Tour added freeflying as a three-person competitive discipline at the second televised event (with Skysurfing), part of ESPN's Destination Extreme series. 150 countries watched the FreeFly Clowns (Olav Zipser, Charles Bryan and Omar Alhegelan) as they took 1st place in all four international competitions along with other teams like, the Flyboyz (Eli Thompson, Mike Ortiz, Knut Krecker, Fritz Pfnür), Team AirTime (Tony Urugallo, Jim O'Reilly, Peter Raymond, Brian Germain), and many other pioneers of freeflying showed off their best moves. In 1996 and 1997, the SSI Pro Tour staged eight televised events in both North America and Europe with $36,000 in cash prizes awarded to freefly teams. SSI invited the 1997 Pro World Champions, the Flyboyz, to participate in the 1998 ESPN X Games as a sanctioned exhibition.",High,High,Low,Low,High
4,446-2,2,Who did not agree with each other in terms of political views and attitudes?,Who agreed with each other in terms of attitudes and not political views?,"The population of the Thirteen States was not homogeneous in political views and attitudes. Loyalties and allegiances varied widely within regions and communities and even within families, and sometimes shifted during the Revolution.","The population of the Thirteen States was homogeneous not in political views, but in attitudes. Loyalties and allegiances varied widely within regions and communities and even within families, and sometimes shifted during the Revolution.",High,High,Low,Low,High
5,446-3,2,Who disagreed with each other about political views and attitudes?,Who agreed with each other about political views and attitudes?,"The population of the Thirteen States was not homogeneous in political views and attitudes. Loyalties and allegiances varied widely within regions and communities and even within families, and sometimes shifted during the Revolution.","The population of the Thirteen States was homogeneous in both political views and attitudes. Loyalties and allegiances varied widely within regions and communities and even within families, and sometimes shifted during the Revolution.",High,High,Low,Low,High
6,447-2,2,Which credit card companies disallow sellers from having upper and lower spending limits?,Which credit card companies disallow sellers from having upper and allow lower spending limits?,"Consumer protections vary, depending on the network used. Visa and MasterCard, for instance, prohibit minimum and maximum purchase sizes, surcharges, and arbitrary security procedures on the part of merchants. Merchants are usually charged higher transaction fees for credit transactions, since debit network transactions are less likely to be fraudulent. This may lead them to ""steer"" customers to debit transactions. Consumers disputing charges may find it easier to do so with a credit card, since the money will not immediately leave their control. Fraudulent charges on a debit card can also cause problems with a checking account because the money is withdrawn immediately and may thus result in an overdraft or bounced checks. In some cases debit card-issuing banks will promptly refund any disputed charges until the matter can be settled, and in some jurisdictions the consumer liability for unauthorized charges is the same for both debit and credit cards.","Consumer protections vary, depending on the network used. Visa and MasterCard, for instance, prohibit maximum (but not minimum) purchase sizes, surcharges, and arbitrary security procedures on the part of merchants. Merchants are usually charged higher transaction fees for credit transactions, since debit network transactions are less likely to be fraudulent. This may lead them to ""steer"" customers to debit transactions. Consumers disputing charges may find it easier to do so with a credit card, since the money will not immediately leave their control. Fraudulent charges on a debit card can also cause problems with a checking account because the money is withdrawn immediately and may thus result in an overdraft or bounced checks. In some cases debit card-issuing banks will promptly refund any disputed charges until the matter can be settled, and in some jurisdictions the consumer liability for unauthorized charges is the same for both debit and credit cards.",High,High,Low,Low,High
7,447-3,1,Which two companies forbid minimum and maximum purchase sizes?,Which two companies do not forbid minimum and maximum purchase sizes?,"Consumer protections vary, depending on the network used. Visa and MasterCard, for instance, prohibit minimum and maximum purchase sizes, surcharges, and arbitrary security procedures on the part of merchants. Merchants are usually charged higher transaction fees for credit transactions, since debit network transactions are less likely to be fraudulent. This may lead them to ""steer"" customers to debit transactions. Consumers disputing charges may find it easier to do so with a credit card, since the money will not immediately leave their control. Fraudulent charges on a debit card can also cause problems with a checking account because the money is withdrawn immediately and may thus result in an overdraft or bounced checks. In some cases debit card-issuing banks will promptly refund any disputed charges until the matter can be settled, and in some jurisdictions the consumer liability for unauthorized charges is the same for both debit and credit cards.","Consumer protections vary, depending on the network used. Visa and MasterCard, for instance, allow minimum and maximum purchase sizes, surcharges, and arbitrary security procedures on the part of merchants. Merchants are usually charged higher transaction fees for credit transactions, since debit network transactions are less likely to be fraudulent. This may lead them to ""steer"" customers to debit transactions. Consumers disputing charges may find it easier to do so with a credit card, since the money will not immediately leave their control. Fraudulent charges on a debit card can also cause problems with a checking account because the money is withdrawn immediately and may thus result in an overdraft or bounced checks. In some cases debit card-issuing banks will promptly refund any disputed charges until the matter can be settled, and in some jurisdictions the consumer liability for unauthorized charges is the same for both debit and credit cards.",High,High,Low,Low,High
8,448-2,1,Which song is not often heard in current times?,Which song was not often heard during Foster's day?,"The school song, ""Fair Reed,"" is sung to the tune of the 1912 popular song ""Believe Me, if All Those Endearing Young Charms."" It may be imitative of the Harvard anthem ""Fair Harvard,"" which is also sung to the tune of ""Believe Me, if All Those Endearing Young Charms."" It was composed by former president William Trufant Foster shortly after Reed's founding, and is rarely heard today.","The school song, ""Fair Reed,"" is sung to the tune of the 1912 popular song ""Believe Me, if All Those Endearing Young Charms."" It may be imitative of the Harvard anthem ""Fair Harvard,"" which is also sung to the tune of ""Believe Me, if All Those Endearing Young Charms."" It was composed by former president William Trufant Foster shortly after Reed's founding, and despite its current popularity, it was rarely heard in Foster's time.",High,High,Low,Low,High
9,448-3,7,Which song is most famous?,who composed the tune believe me?,"The school song, ""Fair Reed,"" is sung to the tune of the 1912 popular song ""Believe Me, if All Those Endearing Young Charms."" It may be imitative of the Harvard anthem ""Fair Harvard,"" which is also sung to the tune of ""Believe Me, if All Those Endearing Young Charms."" It was composed by former president William Trufant Foster shortly after Reed's founding, and is rarely heard today.","The school song, ""Fair Reed,"" is sung to the tune of the 1912 popular song ""Believe Me, if All Those Endearing Young Charms."" It may be imitative of the Harvard anthem ""Fair Harvard,"" which is also sung to the tune of ""Believe Me, if All Those Endearing Young Charms."" It was composed by former president William Trufant Foster shortly after Reed's founding, and was an immediate success, remaining in use by the college to this day",High,High,Low,Low,High
