Premise,Hypothesis,Question,Option A,Option B,Option C,Answer,Source,Expected Cosine Similarity
Women weaving baskets with a child in between them.,Women sewing clothes while a baby sleeps.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
uh-huh um-hum um-hum yeah that's because my that's really see because a lot of times we'll order a pizza we'll just get a regular cheese pizza or um uh for we just recently got married so my wife,We usually just get ice cream so my girlfriend.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"When Mr. Hastings and Mr. Lawrence came in yesterday evening, they found your mistress busy writing letters. ","Your mistress wrote letters last night, can you give them to me?","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"It was published in the Federal Register as a final rule on January 15, 1998.",It was later made available for online reading.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"On the basis of our literature searches and discussions with experts, we identified a number of commercial companies as having innovative development processes and practices that resulted in successful product development.",Commercial companies always outsource their product development.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
they they'll serve they'll serve a quarter of it so if you want them to stay in prison for fifteen years don't sentence them to fifteen years sentence them to a hundred you know because then they'll serve fifteen or twenty so which is really i don't know,If you want someone in jail for 15 years you should sentence them for a hundred since their sentence will be reduced.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"The clock mechanism, all gilt and polychrome enamel, still keeps perfect time, activating statues of two green bronze Moors that hammer out the hour.","The clock mechanism no longer works, but it is made of matte black ashen paint.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Vrenna parried another sword strike and planted her remaining short sword under the chin of her opponent until his cap came off and balanced on the tip.,Vrenna drew blood with the sword.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
oh yeah yeah yeah yeah there's some nice stuff over there to see i i spent four years traveling around and didn't see you know hardly anything i just,I've never been there.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The Victorian house is furnished as a typical charming, small Dublin household of the period.",Most of the furnishings are replicas rather than originals.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
well that's nice uh-huh that's good,Never expected it to be that nice actually.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
oh yes yes uh-huh right i like i've seen it several times it's a scream but i had to go to bed i have to get up and and work the next morning i wish they'd put those,I love to stay up late to watch the show.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
and yet he although he may never be free to kill again there are a lot of people like him that are free to kill again,"He is in prison, but he still is capable of killing people.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A bearded man wearing glasses, a red shirt, and a hat is reading a map while sitting in a car.",A man is driving while focusing intently on the road.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
i think there's an eighty percent chance this evening but it's supposed to be cleared out at least by noon tomorrow and then the rest'll be without rain,I bet that it will rain this evening.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"An Asian girl makes a surprised face while wearing a shirt that says ""Radio""","A young girl is modeling her ""Radio"" shirt","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
You can hire an official guide on Masada or follow the park maps and carefully labeled site explanations.,Following the park maps of just as rich an experience as hiring an official guide.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A newlywed Asian couple gets flower petals thrown on them.,The man and woman are celebrating their anniversary.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A man is looking at the moon throw a telescope at dusk.,A man focuses on the moon.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"But the market has clearly signaled a future in which guanxi , or connections, will count as much as traditional pluck and enterprise.",The market states that connections are worthless.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A cook in a green apron pauses for a moment beside an outdoor grill.,Hamburgers are on the grill.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"A person sits next to light pole that has flags on it with anchors, overlooking a river and a city front on the other side.",The person is standing by the light pole.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
No one took much notice of that at the inquest ”but now it has a very different significance. ,It didn't seem important at the time.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Two young boys are smiling while sitting next to an organized fruit cart that holds apples, grapes, plums, and various other fruits.",Two boys are silently scheming a plan.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A person is sitting next to a tv holding a plate of food.,A girl is playing outside.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A woman in a hat plays the guitar next to a woman talking on the phone.,Both women are asleep.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"All is forgiven when Tarzan (the voice of Tony Goldwyn) meets Minnie Driver--I mean, Jane.",When Tarzan meets jane there is chaos.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Take time to explore the exquisite Moorish stonework and the elegant domes and minaret.,The Moorish stonework and elegant domes and minaret are all there is to explore.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
