Cause A,Cause B,Cause Expected Relationship,Effect A,Effect B,Effect Expected Relationship
They were following a nationwide mandate to curb individual screen time.,They were attempting to foster deeper connections by reducing distractions from devices.,High,"After several months, a promising candidate was developed.","After a day, the scientist had built a time machine.",High
A package was delivered to the house.,A stranger was loitering near the house.,High,He maintained a perfect smile.,He developed cavities over time.,High
The company was hosting a corporate event.,There was a break-in attempt.,High,They decided to start a new project immediately.,They successfully met the deadline the next morning.,High
Such frequency was to accommodate the higher number of commuters and reduce congestion.,A new species of fish was found in the ocean.,High,He managed to capture the perfect hue and shadow in his artwork.,He went out for dinner in the evening.,High
There was a heatwave.,It had snowed overnight.,High,"Over a couple of seasons, the yield from his farm increased substantially with healthier crops.",He decided to start a poultry farm on his property.,High
A famous actor started a new fashion trend.,It accommodated binge-watchers who prefer to watch at their own pace.,High,It became a mysterious and fascinating item to visitors.,It was discarded as broken.,High
A new species of bird was discovered.,There was a shortage of semiconductor chips.,High,The painting was sold immediately.,The painting showcased intricate patterns and depths as it morphed over time.,High
A highly favorable quarterly report was released.,A nearby river changed its course.,High,"Over the decade, travel between these cities became faster and more efficient.",The government launched a space exploration program.,High
A new rock band released their debut album.,There were unusually high temperatures during the growth period.,High,"Over the semester, the students developed the ability to read minds.","Over the semester, the students became more engaged and participative.",High
A new shopping mall was opened.,There was a free concert featuring a popular band.,High,They decided to start a small home garden.,"After several years, they accumulated a substantial amount.",High
A celebrity announced a new world tour.,The automatic bell system was malfunctioning.,High,Her father told her to drink her milk.,Her father immediately took away her dessert.,High
There was a system error in the portal's date setting.,A new restaurant opened in town.,High,They built a snowman in the garden.,They had fresh vegetables for meals in the fall.,High
A famous movie was released.,There were changes in climate patterns.,High,The beef was tender and flavorful after hours of cooking.,The beef was ready in an hour.,High
There was a festival in the forest.,A predator was lurking in the vicinity.,High,The team experienced fewer injuries and improved performance over time.,The team's attire color changed to a lighter shade.,High
There was a glitch in the central timekeeping system.,A famous painter arrived in town.,High,The company started to focus more on international markets.,Investors received more comprehensive data but had to wait longer between updates.,High
A new kind of flower was discovered in a remote forest.,Governments and private companies invested heavily in space technologies.,High,The city opened a new park downtown.,The pace of new construction projects in the city decreased significantly over time.,High
"The government actively fostered research and development in renewable energy, providing grants and incentives over years.",A pop star held a concert on the island.,High,Passengers had a more relaxed connection experience but the total travel time increased.,The airline introduced new in-flight meals.,High
"Industrial waste was being dumped into the lake, polluting it over time.",An award-winning film was screened on the lakeshore.,High,"The parks saw an increase in daily visitors, with many people bringing their work outdoors.",The parks started to close earlier in the evening.,High
The change was to accommodate the fast pace of developments and updates in the tech industry.,A rare bird was spotted in a remote part of the country.,High,"There was a decrease in the number of visitors, providing the environment more time to rejuvenate.",The national park introduced new flora and fauna exhibits.,High
The town started hosting an annual sea festival that gradually gained international attention.,The town experienced a series of thunderstorms.,High,The local government introduced water taxis as a new form of transport.,"Over time, there was a noticeable decrease in traffic congestion and pollution on that specific day of the week.",High
Someone set off fireworks in the neighborhood.,There was a parade passing by.,High,The residents felt uplifted and parks became busier.,All cars stopped working.,High
I marked an appointment on the calendar.,It was the beginning of a new month.,High,The flowers remained fresh for a longer time.,The flowers changed their color.,High
