Cause A,Cause B,Cause Expected Relationship,Effect A,Effect B,Effect Expected Relationship
Root of this situation: They were following a nationwide mandate to curb individual screen time.,Root of this situation: They were attempting to foster deeper connections by reducing distractions from devices.,High,"Consequence of this event: After several months, a promising candidate was developed.","Consequence of this event: After a day, the scientist had built a time machine.",High
Root of this situation: A package was delivered to the house.,Root of this situation: A stranger was loitering near the house.,High,Consequence of this event: He maintained a perfect smile.,Consequence of this event: He developed cavities over time.,High
Root of this situation: The company was hosting a corporate event.,Root of this situation: There was a break-in attempt.,High,Consequence of this event: They decided to start a new project immediately.,Consequence of this event: They successfully met the deadline the next morning.,High
Root of this situation: Such frequency was to accommodate the higher number of commuters and reduce congestion.,Root of this situation: A new species of fish was found in the ocean.,High,Consequence of this event: He managed to capture the perfect hue and shadow in his artwork.,Consequence of this event: He went out for dinner in the evening.,High
Root of this situation: There was a heatwave.,Root of this situation: It had snowed overnight.,High,"Consequence of this event: Over a couple of seasons, the yield from his farm increased substantially with healthier crops.",Consequence of this event: He decided to start a poultry farm on his property.,High
Root of this situation: A famous actor started a new fashion trend.,Root of this situation: It accommodated binge-watchers who prefer to watch at their own pace.,High,Consequence of this event: It became a mysterious and fascinating item to visitors.,Consequence of this event: It was discarded as broken.,High
Root of this situation: A new species of bird was discovered.,Root of this situation: There was a shortage of semiconductor chips.,High,Consequence of this event: The painting was sold immediately.,Consequence of this event: The painting showcased intricate patterns and depths as it morphed over time.,High
Root of this situation: A highly favorable quarterly report was released.,Root of this situation: A nearby river changed its course.,High,"Consequence of this event: Over the decade, travel between these cities became faster and more efficient.",Consequence of this event: The government launched a space exploration program.,High
Root of this situation: A new rock band released their debut album.,Root of this situation: There were unusually high temperatures during the growth period.,High,"Consequence of this event: Over the semester, the students developed the ability to read minds.","Consequence of this event: Over the semester, the students became more engaged and participative.",High
Root of this situation: A new shopping mall was opened.,Root of this situation: There was a free concert featuring a popular band.,High,Consequence of this event: They decided to start a small home garden.,"Consequence of this event: After several years, they accumulated a substantial amount.",High
