Premise,Hypothesis,Question,Option A,Option B,Option C,Answer,Source,Expected Cosine Similarity
I don't know exactly when.,i don't know when.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
Women weaving baskets with a child in between them.,Women sewing clothes while a baby sleeps.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
uh-huh um-hum um-hum yeah that's because my that's really see because a lot of times we'll order a pizza we'll just get a regular cheese pizza or um uh for we just recently got married so my wife,We usually just get ice cream so my girlfriend.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
but i right but i agree it has to be at their choice and it needs to be a time when they're ready to do it um i don't think you can just snatch somebody away from you know you don't know what their circumstances are or what's going on in their life you can't just snatch them away and make them go do something they don't want to do,"People have different situations in life, so it's not right to force them to do something conflicting.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"When Mr. Hastings and Mr. Lawrence came in yesterday evening, they found your mistress busy writing letters. ","Your mistress wrote letters last night, can you give them to me?","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"It was published in the Federal Register as a final rule on January 15, 1998.",It was later made available for online reading.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"On the basis of our literature searches and discussions with experts, we identified a number of commercial companies as having innovative development processes and practices that resulted in successful product development.",Commercial companies always outsource their product development.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
they they'll serve they'll serve a quarter of it so if you want them to stay in prison for fifteen years don't sentence them to fifteen years sentence them to a hundred you know because then they'll serve fifteen or twenty so which is really i don't know,If you want someone in jail for 15 years you should sentence them for a hundred since their sentence will be reduced.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"The clock mechanism, all gilt and polychrome enamel, still keeps perfect time, activating statues of two green bronze Moors that hammer out the hour.","The clock mechanism no longer works, but it is made of matte black ashen paint.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Vrenna parried another sword strike and planted her remaining short sword under the chin of her opponent until his cap came off and balanced on the tip.,Vrenna drew blood with the sword.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
you know just mainly to melt the cheese and everything and let all the seasoning melt into it and it's done,Cook it just long enough for the cheese to melt and the seasonings to mix good.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
oh yeah yeah yeah yeah there's some nice stuff over there to see i i spent four years traveling around and didn't see you know hardly anything i just,I've never been there.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The Victorian house is furnished as a typical charming, small Dublin household of the period.",Most of the furnishings are replicas rather than originals.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
well that's nice uh-huh that's good,Never expected it to be that nice actually.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
well sometimes but i tell you i'd sure like to be able to get on a bus or something and get to work but if i did it it'd take me about an hour and fifteen minutes i would have to get on one and drive or walk to a bus you know there's one terminal close to us and then they'd drive me to the main terminal here then i'd have to go to downtown Dallas and then walk over a couple of blocks and get on another bus to go to my school,I have to do a lot to take the bus.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
oh yes yes uh-huh right i like i've seen it several times it's a scream but i had to go to bed i have to get up and and work the next morning i wish they'd put those,I love to stay up late to watch the show.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A man is riding a bicycle past a cruise ship floating in the water.,A man is riding a bicycle.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
yeah i i just don't see how a person could,I just don't see how someone could,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
A young man does tricks with his bike on a course.,Young man are always do bike tricks.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
Man on trash truck working hard for day.,A garbage man is holding onto the truck as he works hard at his job.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
and yet he although he may never be free to kill again there are a lot of people like him that are free to kill again,"He is in prison, but he still is capable of killing people.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A bearded man wearing glasses, a red shirt, and a hat is reading a map while sitting in a car.",A man is driving while focusing intently on the road.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
Smiley Burnette i don't know if you're old enough to remember him,Smiley Burnette was popular in the past.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
